entry_date,exit_date,direction,entry_price,exit_price,stop_price,shares,notional,gross_pnl,net_pnl,R_multiple,exit_reason,cum_pnl,equity
2021-03-29,2021-03-30,LONG,21.1561,20.6264,20.6264,472,9985.68,-250.0,-250.0,-1.0,stop_loss,-250.0,9750.0
2021-04-05,2021-05-04,LONG,24.2746,23.6663,23.6663,411,9976.86,-250.0,-250.0,-1.0,stop_loss,-500.0,9500.0
2021-05-10,2021-05-20,SHORT,22.9231,23.4965,23.4965,436,9994.47,-250.0,-250.0,-1.0,stop_loss,-750.0,9250.0
2021-05-24,2021-06-03,LONG,24.1839,23.5785,23.5785,413,9987.94,-250.0,-250.0,-1.0,stop_loss,-1000.0,9000.0
2021-06-07,2021-08-30,LONG,25.0483,35.7958,24.4217,399,9994.25,4288.29,4288.29,17.153,time_exit,3288.29,13288.29
2021-09-13,2021-10-26,SHORT,34.676,35.544,35.544,288,9986.68,-250.0,-250.0,-1.0,stop_loss,3038.29,13038.29
2021-11-01,2021-12-02,LONG,37.4148,36.4785,36.4785,267,9989.75,-250.0,-250.0,-1.0,stop_loss,2788.29,12788.29
2021-12-06,2021-12-17,LONG,36.6746,35.7554,35.7554,272,9975.48,-250.0,-250.0,-1.0,stop_loss,2538.29,12538.29
2021-12-20,2022-01-07,LONG,34.9315,34.0573,34.0573,286,9990.4,-250.0,-250.0,-1.0,stop_loss,2288.29,12288.29
2022-01-10,2022-01-13,LONG,34.5279,33.6629,33.6629,289,9978.57,-250.0,-250.0,-1.0,stop_loss,2038.29,12038.29
2022-01-24,2022-01-25,LONG,27.4552,26.7684,26.7684,364,9993.69,-250.0,-250.0,-1.0,stop_loss,1788.29,11788.29
2022-01-31,2022-02-01,LONG,29.5278,28.7882,28.7882,338,9980.4,-250.0,-250.0,-1.0,stop_loss,1538.29,11538.29
2022-02-07,2022-02-08,SHORT,27.3979,28.0847,28.0847,364,9972.83,-250.0,-250.0,-1.0,stop_loss,1288.29,11288.29
2022-02-14,2022-02-17,LONG,25.5163,24.8769,24.8769,391,9976.86,-250.0,-250.0,-1.0,stop_loss,1038.29,11038.29
2022-02-28,2022-03-01,LONG,25.053,24.4265,24.4265,399,9996.16,-250.0,-250.0,-1.0,stop_loss,788.29,10788.29
2022-03-07,2022-03-08,SHORT,20.4016,20.9118,20.9118,490,9996.76,-250.0,-250.0,-1.0,stop_loss,538.29,10538.29
2022-03-14,2022-03-15,SHORT,19.0357,19.5119,19.5119,525,9993.75,-250.0,-250.0,-1.0,stop_loss,288.28999999999996,10288.29
2022-03-21,2022-03-22,SHORT,25.2106,25.8419,25.8419,396,9983.41,-250.0,-250.0,-1.0,stop_loss,38.289999999999964,10038.29
2022-03-28,2022-03-31,LONG,28.4246,27.7124,27.7124,351,9977.05,-250.0,-250.0,-1.0,stop_loss,-211.71000000000004,9788.29
2022-04-04,2022-04-05,LONG,29.3941,28.6588,28.6588,340,9993.99,-250.0,-250.0,-1.0,stop_loss,-461.71000000000004,9538.29
2022-04-11,2022-04-12,SHORT,22.9995,23.5755,23.5755,434,9981.79,-250.0,-250.0,-1.0,stop_loss,-711.71,9288.29
2022-04-18,2022-04-21,LONG,22.5076,21.9445,21.9445,444,9993.38,-250.0,-250.0,-1.0,stop_loss,-961.71,9038.29
2022-04-25,2022-04-26,LONG,20.5592,20.0447,20.0447,486,9991.75,-250.0,-250.0,-1.0,stop_loss,-1211.71,8788.29
2022-05-02,2022-05-04,LONG,18.2668,17.8098,17.8098,547,9991.96,-250.0,-250.0,-1.0,stop_loss,-1461.71,8538.29
2022-05-09,2022-05-10,SHORT,14.5753,14.9397,14.9397,686,9998.63,-250.0,-250.0,-1.0,stop_loss,-1711.71,8288.29
