entry_date,exit_date,direction,entry_price,exit_price,stop_price,shares,notional,gross_pnl,net_pnl,R_multiple,exit_reason,cum_pnl,equity
2021-03-29,2021-03-30,LONG,21.1561,20.6264,20.6264,472,9985.68,-250.0,-250.0,-1.0,stop_loss,-250.0,9750.0
2021-04-05,2021-05-04,LONG,24.2746,23.6663,23.6663,411,9976.86,-250.0,-250.0,-1.0,stop_loss,-500.0,9500.0
2021-05-10,2021-05-20,SHORT,22.9231,23.4965,23.4965,436,9994.47,-250.0,-250.0,-1.0,stop_loss,-750.0,9250.0
2021-05-24,2021-06-03,LONG,24.1839,23.5785,23.5785,413,9987.94,-250.0,-250.0,-1.0,stop_loss,-1000.0,9000.0
2021-06-07,2021-08-16,LONG,25.0483,32.8039,24.4217,399,9994.25,3094.5,3094.5,12.378,time_exit,2094.5,12094.5
2021-08-23,2021-09-20,LONG,33.8713,33.0238,33.0238,295,9992.02,-250.0,-250.0,-1.0,stop_loss,1844.5,11844.5
2021-09-27,2021-09-28,LONG,33.0403,32.2125,32.2125,302,9978.17,-250.0,-250.0,-1.0,stop_loss,1594.5,11594.5
2021-10-04,2021-10-05,SHORT,28.4246,29.1369,29.1369,351,9977.05,-250.0,-250.0,-1.0,stop_loss,1344.5,11344.5
2021-10-11,2021-10-14,SHORT,29.7642,30.5105,30.5105,335,9971.01,-250.0,-250.0,-1.0,stop_loss,1094.5,11094.5
2021-10-18,2021-12-28,LONG,33.377,40.9153,32.5409,299,9979.72,2253.97,2253.97,9.016,time_exit,3348.47,13348.47
2022-01-03,2022-01-04,LONG,40.8628,39.8382,39.8382,244,9970.53,-250.0,-250.0,-1.0,stop_loss,3098.47,13098.47
2022-01-10,2022-01-13,LONG,34.5279,33.6629,33.6629,289,9978.57,-250.0,-250.0,-1.0,stop_loss,2848.47,12848.47
2022-01-24,2022-01-25,LONG,27.4552,26.7684,26.7684,364,9993.69,-250.0,-250.0,-1.0,stop_loss,2598.47,12598.47
2022-01-31,2022-02-01,LONG,29.5278,28.7882,28.7882,338,9980.4,-250.0,-250.0,-1.0,stop_loss,2348.47,12348.47
2022-02-07,2022-02-08,SHORT,27.3979,28.0847,28.0847,364,9972.83,-250.0,-250.0,-1.0,stop_loss,2098.47,12098.47
2022-02-14,2022-02-17,LONG,25.5163,24.8769,24.8769,391,9976.86,-250.0,-250.0,-1.0,stop_loss,1848.4699999999998,11848.47
2022-02-28,2022-03-01,LONG,25.053,24.4265,24.4265,399,9996.16,-250.0,-250.0,-1.0,stop_loss,1598.4699999999998,11598.47
2022-03-07,2022-03-08,SHORT,20.4016,20.9118,20.9118,490,9996.76,-250.0,-250.0,-1.0,stop_loss,1348.4699999999998,11348.47
2022-03-14,2022-03-15,SHORT,19.0357,19.5119,19.5119,525,9993.75,-250.0,-250.0,-1.0,stop_loss,1098.4699999999998,11098.47
2022-03-21,2022-03-22,SHORT,25.2106,25.8419,25.8419,396,9983.41,-250.0,-250.0,-1.0,stop_loss,848.4699999999998,10848.47
2022-03-28,2022-03-31,LONG,28.4246,27.7124,27.7124,351,9977.05,-250.0,-250.0,-1.0,stop_loss,598.4699999999998,10598.47
2022-04-04,2022-04-05,LONG,29.3941,28.6588,28.6588,340,9993.99,-250.0,-250.0,-1.0,stop_loss,348.4699999999998,10348.47
2022-04-11,2022-04-12,SHORT,22.9995,23.5755,23.5755,434,9981.79,-250.0,-250.0,-1.0,stop_loss,98.4699999999998,10098.47
2022-04-18,2022-04-21,LONG,22.5076,21.9445,21.9445,444,9993.38,-250.0,-250.0,-1.0,stop_loss,-151.5300000000002,9848.47
2022-04-25,2022-04-26,LONG,20.5592,20.0447,20.0447,486,9991.75,-250.0,-250.0,-1.0,stop_loss,-401.5300000000002,9598.47
